cast id,cast name,latest role
6697660,Lezley McSpadden,
0164809,Jason Clarke,Untitled Lakers Project
0000717,Kareem Abdul-Jabbar,iZombie
3964350,Amandla Stenberg,The Eddy
0249291,Joel Edgerton,Bright 2 ()
2286839,Larry Berry,Take Action
0205954,Phife Dawg,
0741242,Anika Noni Rose,The Outlaw Johnny Black ()
0344435,Ioan Gruffudd,Ava
0757855,Zoe Saldana,Untitled Star Trek Sequel ()
9467675,Harvey Walker,
2503064,Logan Browning,Dear White People (2017-2019)
3496466,Yance Ford,
0246686,Melonie Diaz,Charmed (2018-2020)
0005024,Terrence Howard,Selfie ()
4129745,Allison Williams,Horizon Line
0868110,John Tormey,She's Funny That Way
3646228,Stephanie 'Stevvi' Alexander,
1392716,Sharon Jones,
0800899,Anna Simpson,Hack Back
0000230,Sylvester Stallone,The Expendables 4 ()
6171392,Starr Duncan-Lowe,The Wolf of Wall Street
2143282,Lupita Nyong'o,Americanah
0991810,Mahershala Ali,Blade ()
0000657,David Strathairn,Nightmare Alley ()
0147825,Cedric the Entertainer,She Ball ()
0000552,Eddie Murphy,Beverly Hills Cop 4 ()
0929615,Jess Willard,Love & Basketball
0004721,Erykah Badu,
7594279,Lovie Simone,The Craft ()
0607339,Toni Morrison,
0206257,Rosario Dawson,DMZ
0682495,Wendell Pierce,Silent Voice ()
0000148,Harrison Ford,Untitled Indiana Jones Project
2022922,Darnellia Russell,
0378245,Taraji P. Henson,Minions: The Rise of Gru
3883997,Kevin Kirk,
1174936,Richard 'Pistol' Allen,
0044762,Obba Babatundé,Walk by Faith ()
3659660,Corey Hawkins,Macbeth
0001084,Ice Cube,
0252230,Chiwetel Ejiofor,Doctor Strange in the Multiverse of Madness
0000553,Liam Neeson,Marlowe ()
1221047,Keegan-Michael Key,Wendell and Wild
8154630,Omar Barbour,
0000401,Laurence Fishburne,Crimson Blues ()
1579753,Whitney Cummings,
0252238,Carmen Ejogo,Self Made: Inspired by the Life of Madam C.J. Walker
0152638,Dave Chappelle,
0154071,Glenndon Chatman,For The People
0005522,Mario Van Peebles,Outlaw Posse ()
0654648,David Oyelowo,Solitary ()
0461498,Beyoncé,
0000128,Russell Crowe,American Son ()
2993749,Michael Brown Sr.,Unborn Sins
0525855,Carl Lumbly,The Falcon and the Winter Soldier
8473220,Helena Howard,Don't Look Deeper ()
0913488,Kerry Washington,24-7 ()
3899260,Tanya Crumel,
3853652,Jodie Turner-Smith,After Yang
1734700,Nelsan Ellis,True to the Game
0553634,Melissa Martinez,Sabotage
11290590,Jill Rene,Night Comes On
0611241,Ali Shaheed Muhammad,
1538675,Emayatzy Corinealdi,At That Age
1345514,Tre Armstrong,Full Out
4271336,Shameik Moore,Spider-Man: Into the Spider-Verse 2
3147751,LaKeith Stanfield,Untitled Fred Hampton Project ()
,,
0432380,Miranda July,
0835159,Lisa Simone Kelly,Buena Vista Fight Club
3560395,Michelle Alexander,
0138460,Stokely Carmichael,
0004797,Bruno Campos,Disney Comics in Motion (2018-2019)
0654110,Clive Owen,Lisey's Story ()
5123156,Kelvin Harrison Jr.,The Trial of the Chicago 7
0001451,Queen Latifah,
9570666,Quincy Bryant,
0848147,André Leon Talley,#Fashionvictim
0004693,Lou Adler,
4377526,Daveed Diggs,The Little Mermaid ()
6853061,Anthony Ramos,Distant ()
1676649,Nate Parker,American Skin
0430107,Michael B. Jordan,Creed III ()
1323822,Adepero Oduye,The Falcon and the Winter Soldier
6328300,Winston Duke,Heroine ()
8708944,Mike Albanese,
1918923,Abiodun Oyewole,
8401402,Shariff Earp,Atlanta
0002537,Miles Davis,
6251353,Mason Alban,Little Women
0000671,Billy Bob Thornton,Goliath (2016-2020)
0022487,Hilton Als,
4832920,Quvenzhané Wallis,Swagger
0390184,Donald Holden,George Washington
4924757,Mya Taylor,Stage Mother
0005569,Alfre Woodard,Fatherhood
0000168,Samuel L. Jackson,What If...?
6578009,O'Shea Jackson Jr.,Den of Thieves 2: Pantera ()
0771493,Richard Schiff,American Morning ()
4554036,Parker Sawyers,Squadron 42 ()
0262506,Candace Evanofski,Eastbound & Down
1265802,Josh Gad,Moonfall ()
1443502,Jordan Peele,Wendell and Wild
0800510,Nina Simone,
1498712,Terri Lyne Carrington,Klymaxx: 4 the Ole Dawg N U
8460487,KiKi Layne,Coming 2 America
1176973,Jack Ashford,
0134244,Nick Cannon,
4833412,Dwight Henry,Sexual Healing ()
